PairKey,SourceLayout,ABackbone,ARotateCW,BWinnerCW,WinnerScore,RunnerUpCW,RunnerUpScore,Margin,Score0,Score90,Score180,Score270
UD_002_B_0006_01_01,UD_002_B_0006_01,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_01_02,UD_002_B_0006_01,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_01_03,UD_002_B_0006_01,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_01_04,UD_002_B_0006_01,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_02_01,UD_002_B_0006_02,bottom,0,270,0.641996,180,0.471573,0.170423,0.466585,0.440385,0.471573,0.641996
UD_002_B_0006_02_02,UD_002_B_0006_02,bottom,0,270,0.641996,180,0.471573,0.170423,0.466585,0.440385,0.471573,0.641996
UD_002_B_0006_02_03,UD_002_B_0006_02,bottom,0,270,0.641996,180,0.471573,0.170423,0.466585,0.440385,0.471573,0.641996
UD_002_B_0006_02_04,UD_002_B_0006_02,bottom,0,270,0.641996,180,0.471573,0.170423,0.466585,0.440385,0.471573,0.641996
UD_002_B_0006_03_01,UD_002_B_0006_03,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_03_02,UD_002_B_0006_03,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_03_03,UD_002_B_0006_03,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_03_04,UD_002_B_0006_03,bottom,0,270,0.642012,180,0.471603,0.170409,0.466588,0.440406,0.471603,0.642012
UD_002_B_0006_04_01,UD_002_B_0006_04,bottom,0,270,0.641996,180,0.471573,0.170423,0.466585,0.440385,0.471573,0.641996
